k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 22:27:19,ASAP.py,78.8329,78.0262,78.4494,0.3835,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.1,2024-05-06 22:27:19,ASAP.py,83.6444,82.7315,83.2201,0.4243,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.2,2024-05-06 22:27:19,ASAP.py,79.9521,79.1444,79.5932,0.3589,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.3,2024-05-06 22:27:19,ASAP.py,84.2470,83.3464,83.8341,0.4129,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.4,2024-05-06 22:27:19,ASAP.py,79.8333,79.0202,79.4611,0.3722,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.5,2024-05-06 22:27:19,ASAP.py,78.5591,77.7804,78.1976,0.3615,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.6,2024-05-06 22:27:19,ASAP.py,77.9789,77.1208,77.5825,0.3964,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.7,2024-05-06 22:27:19,ASAP.py,79.2349,78.4224,78.8606,0.3744,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.8,2024-05-06 22:27:19,ASAP.py,79.9308,79.1321,79.5737,0.3571,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,0.9,2024-05-06 22:27:19,ASAP.py,79.1229,78.3170,78.7547,0.3682,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,1,1.0,2024-05-06 22:27:19,ASAP.py,83.4764,82.5945,83.0524,0.4240,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2170260,1836596,2170260
1,2,0.0,2024-05-06 22:27:19,ASAP.py,84.0958,83.3296,83.7043,0.3915,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.7908,652108,2170260,652108,2170260
1,2,0.1,2024-05-06 22:27:19,ASAP.py,83.1360,82.3026,82.6750,0.4610,0.0005,25,7.0000,21.0400,33.4000,0.0000,0,0,0,0,0.0001,25,4,21,0,0.8502,652108,2170260,652104,2018604
1,2,0.2,2024-05-06 22:27:19,ASAP.py,82.7922,81.9153,82.2869,0.5052,0.0199,789,9.7731,29.7668,50.5906,0.0000,0,0,0,0,0.0015,790,154,635,1,0.8515,652108,2170260,651954,2014748
1,2,0.3,2024-05-06 22:27:19,ASAP.py,83.5708,82.4081,82.7707,0.8001,0.2096,7423,10.7486,31.3878,55.7828,0.0000,0,0,0,0,0.0128,7449,1469,5954,26,0.8586,652108,2170260,650639,1991106
1,2,0.4,2024-05-06 22:27:19,ASAP.py,84.7184,82.9782,83.3457,1.3727,0.5871,20866,10.5747,29.9611,55.0961,0.0000,0,0,0,0,0.0338,21021,4313,16553,155,0.8733,652108,2170260,647795,1934994
1,2,0.5,2024-05-06 22:27:19,ASAP.py,85.9424,83.2764,83.6462,2.2961,1.3224,50481,9.8601,26.9888,50.9202,0.0000,0,0,0,0,0.0822,51280,10651,39830,799,0.8764,652108,2170260,641457,1918022
1,2,0.6,2024-05-06 22:27:19,ASAP.py,88.4182,83.0103,83.3868,5.0313,3.1353,139105,8.4819,22.5130,43.5117,0.0000,0,0,0,0,0.2235,144936,31399,107706,5831,0.9317,652108,2170260,620709,1656879
1,2,0.7,2024-05-06 22:27:19,ASAP.py,91.7251,82.2088,82.5946,9.1305,5.5664,352845,6.1469,16.5913,31.3897,0.0000,0,0,0,0,0.5610,395118,103656,249189,42273,0.9693,652108,2170260,548452,1386701
1,2,0.8,2024-05-06 22:27:19,ASAP.py,94.0006,82.7729,83.1301,10.8704,6.1540,472282,5.1225,14.1939,26.1400,0.0000,0,0,0,0,0.7835,558227,163588,308694,85945,0.9877,652108,2170260,488520,1222502
1,2,0.9,2024-05-06 22:27:19,ASAP.py,95.0093,82.1530,82.5384,12.4709,6.4661,591232,4.1598,12.0052,21.3128,0.0000,0,0,0,0,1.0022,735338,238153,353079,144106,0.9998,652108,2170260,413955,1069297
1,2,1.0,2024-05-06 22:27:19,ASAP.py,96.1316,83.1171,83.4862,12.6453,6.4678,600235,3.9435,11.4525,20.3288,0.0000,0,0,0,0,1.0470,747734,245916,354319,147499,1.0000,652108,2170260,406192,1060275
1,3,0.0,2024-05-06 22:27:19,ASAP.py,84.8868,84.1738,84.4856,0.4012,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.6658,362950,2170260,362950,2170260
1,3,0.1,2024-05-06 22:27:19,ASAP.py,85.2051,84.3764,84.7032,0.5019,0.0056,119,7.7311,47.1849,84.3613,0.0000,0,0,0,0,0.0002,119,25,94,0,0.7686,362950,2170260,362925,1879882
1,3,0.2,2024-05-06 22:27:19,ASAP.py,85.9214,84.9883,85.3138,0.6077,0.0544,1585,6.1476,33.6309,63.1817,0.0000,0,0,0,0,0.0031,1593,256,1329,8,0.7713,362950,2170260,362694,1871386
1,3,0.3,2024-05-06 22:29:32,ASAP.py,85.3447,83.9844,84.2557,1.0890,0.4268,13017,6.9354,34.0593,67.8268,0.0000,0,0,0,0,0.0201,13150,2189,10828,133,0.7849,362950,2170260,360761,1822695
1,3,0.4,2024-05-06 22:29:32,ASAP.py,89.6153,87.1736,87.4663,2.1490,1.0930,33979,6.5128,30.2535,62.4044,0.0000,0,0,0,0,0.0536,34916,5949,28030,937,0.8118,362950,2170260,357001,1715073
1,3,0.5,2024-05-06 22:29:32,ASAP.py,87.6753,84.1032,84.3750,3.3003,2.0798,74037,5.9419,26.4782,56.0416,0.0000,0,0,0,0,0.1122,77742,13849,60188,3705,0.8173,362950,2170260,349101,1680487
1,3,0.6,2024-05-06 22:29:32,ASAP.py,89.7722,83.4285,83.7094,6.0628,3.7474,169532,4.8617,21.3960,45.5543,0.0000,0,0,0,0,0.2615,188962,38345,131187,19430,0.8935,362950,2170260,324605,1315263
1,3,0.7,2024-05-06 22:29:32,ASAP.py,93.2720,83.6823,83.9649,9.3071,5.1468,323367,3.4629,16.4155,33.1904,0.0000,0,0,0,0,0.5655,405426,107656,215711,82059,0.9499,362950,2170260,255294,926913
1,3,0.8,2024-05-06 22:29:32,ASAP.py,94.7990,83.6136,83.8864,10.9126,5.5212,404323,2.8653,14.5042,28.1255,0.0000,0,0,0,0,0.7360,526955,166455,237868,122632,0.9795,362950,2170260,196495,685116
1,3,0.9,2024-05-06 22:29:32,ASAP.py,97.2888,84.4755,84.7492,12.5397,5.7754,472576,2.3027,12.4930,23.2353,0.0000,0,0,0,0,0.8423,612866,226868,245708,140290,0.9998,362950,2170260,136082,481237
1,3,1.0,2024-05-06 22:29:32,ASAP.py,95.7150,83.2951,83.5660,12.1490,5.5368,473430,2.2079,12.0133,22.3196,0.0000,0,0,0,0,0.8396,610819,229511,243919,137389,1.0000,362950,2170260,133439,474553
1,4,0.0,2024-05-06 22:29:32,ASAP.py,89.1072,88.4132,88.6968,0.4103,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.5740,237998,2170260,237998,2170260
1,4,0.1,2024-05-06 22:29:32,ASAP.py,86.6396,85.8784,86.1258,0.5138,0.0098,170,6.2412,56.4118,106.5765,0.0000,0,0,0,0,0.0003,172,22,148,2,0.7113,237998,2170260,237976,1751119
1,4,0.2,2024-05-06 22:29:32,ASAP.py,85.3033,84.4274,84.6776,0.6257,0.0913,2266,5.2255,38.6527,79.0093,0.0000,0,0,0,0,0.0039,2286,349,1917,20,0.7152,237998,2170260,237649,1738616
1,4,0.3,2024-05-06 22:29:32,ASAP.py,86.2997,84.5982,84.8565,1.4433,0.6596,16657,5.2653,34.5747,75.5587,0.0000,0,0,0,0,0.0270,17040,2486,14171,383,0.7342,237998,2170260,235512,1667352
1,4,0.4,2024-05-06 22:29:32,ASAP.py,88.1303,85.3010,85.5449,2.5853,1.4070,40208,4.8215,29.9612,67.5153,0.0000,0,0,0,0,0.0642,42153,6532,33676,1945,0.7705,237998,2170260,231466,1520072
1,4,0.5,2024-05-06 22:29:32,ASAP.py,89.5667,85.2658,85.5321,4.0346,2.5472,80844,4.3332,26.0702,59.8898,0.0000,0,0,0,0,0.1301,87745,14587,66257,6901,0.7778,237998,2170260,223411,1469445
1,4,0.6,2024-05-06 22:29:32,ASAP.py,92.9351,85.9384,86.2044,6.7307,3.9881,161169,3.4132,20.9293,47.6180,0.0000,0,0,0,0,0.2798,191500,38730,122439,30331,0.8657,237998,2170260,199268,1053497
1,4,0.7,2024-05-06 22:29:32,ASAP.py,95.5255,85.3458,85.6032,9.9223,4.9929,269758,2.4465,17.0315,36.1846,0.0000,0,0,0,0,0.5319,360662,102395,167363,90904,0.9326,237998,2170260,135603,607539
1,4,0.8,2024-05-06 22:29:32,ASAP.py,97.3534,85.5770,85.8226,11.5308,5.3361,328272,2.0380,15.2772,31.2573,0.0000,0,0,0,0,0.6268,438413,154926,173346,110141,0.9701,237998,2170260,83072,338335
1,4,0.9,2024-05-06 22:29:32,ASAP.py,101.7177,88.3977,88.6699,13.0478,5.3238,370117,1.5122,12.4626,24.4601,0.0000,0,0,0,0,0.6719,459964,206570,163547,89847,0.9998,237998,2170260,31428,121577
1,4,1.0,2024-05-06 22:29:32,ASAP.py,100.2354,87.3773,87.6407,12.5947,5.1193,368865,1.4561,12.0606,23.6210,0.0000,0,0,0,0,0.6443,456325,207505,161360,87460,1.0000,237998,2170260,30493,118578
