k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 22:21:39,ASAP.py,0.1663,0.1642,0.1653,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.1,2024-05-06 22:21:39,ASAP.py,0.1656,0.1635,0.1646,0.0011,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.2,2024-05-06 22:21:39,ASAP.py,0.1653,0.1632,0.1643,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.3,2024-05-06 22:21:39,ASAP.py,0.1637,0.1616,0.1627,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.4,2024-05-06 22:21:39,ASAP.py,0.1656,0.1634,0.1645,0.0011,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.5,2024-05-06 22:21:39,ASAP.py,0.1647,0.1626,0.1637,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.6,2024-05-06 22:21:39,ASAP.py,0.1655,0.1633,0.1644,0.0011,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.7,2024-05-06 22:21:39,ASAP.py,0.1647,0.1627,0.1637,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.8,2024-05-06 22:21:39,ASAP.py,0.1654,0.1632,0.1643,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,0.9,2024-05-06 22:21:39,ASAP.py,0.1644,0.1623,0.1634,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,1,1.0,2024-05-06 22:21:39,ASAP.py,0.1649,0.1628,0.1639,0.0010,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,4423,5734,4423,5734
1,2,0.0,2024-05-06 22:21:39,ASAP.py,0.1744,0.1723,0.1733,0.0011,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.8824,2015,5734,2015,5734
1,2,0.1,2024-05-06 22:21:39,ASAP.py,0.1750,0.1728,0.1738,0.0012,0.0000,2,5.5000,18.0000,28.5000,0.0000,0,0,0,0,0.0000,2,0,2,0,0.8832,2015,5734,2015,5728
1,2,0.2,2024-05-06 22:21:39,ASAP.py,0.1754,0.1728,0.1737,0.0017,0.0005,7,48.4286,68.8571,316.1429,0.0000,0,0,0,0,0.0000,7,2,5,0,0.8836,2015,5734,2013,5724
1,2,0.3,2024-05-06 22:21:39,ASAP.py,0.1777,0.1733,0.1742,0.0035,0.0020,27,45.7778,71.4444,338.3704,0.0000,0,0,0,0,0.0001,27,9,18,0,0.8844,2015,5734,2006,5713
1,2,0.4,2024-05-06 22:21:39,ASAP.py,0.1779,0.1717,0.1726,0.0053,0.0035,66,37.3333,62.0303,247.5758,0.0000,0,0,0,0,0.0001,67,13,53,1,0.8871,2015,5734,2002,5682
1,2,0.5,2024-05-06 22:21:39,ASAP.py,0.1850,0.1737,0.1747,0.0104,0.0078,142,35.6972,57.3803,259.8028,0.0000,0,0,0,0,0.0002,148,30,112,6,0.8880,2015,5734,1985,5665
