k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 20:00:34,ASAP.py,31.0746,30.7486,30.8990,0.1756,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.4061,482947,895439,482947,895439
1,1,0.1,2024-05-06 20:00:34,ASAP.py,31.6081,31.1714,31.3221,0.2860,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.2,2024-05-06 20:00:34,ASAP.py,30.9589,30.5131,30.6610,0.2979,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.3,2024-05-06 20:00:34,ASAP.py,31.5741,31.1312,31.2836,0.2906,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.4,2024-05-06 20:00:34,ASAP.py,31.1857,30.7283,30.8780,0.3077,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.5,2024-05-06 20:00:34,ASAP.py,30.7486,30.3073,30.4561,0.2925,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.6,2024-05-06 20:00:34,ASAP.py,30.9485,30.5059,30.6542,0.2943,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.7,2024-05-06 20:00:34,ASAP.py,31.6575,31.2217,31.3698,0.2877,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.8,2024-05-06 20:00:34,ASAP.py,32.8955,31.7237,32.0405,0.8550,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
1,1,0.9,2024-05-06 20:00:34,ASAP.py,31.5975,31.1565,31.3068,0.2907,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,482947,895439,482947,363652
