k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-07 09:43:09,ASAP.py,99.3673,98.2747,98.8756,0.4916,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.1,2024-05-07 09:43:09,ASAP.py,99.4825,98.3916,98.9879,0.4945,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.2,2024-05-07 09:43:09,ASAP.py,99.0112,97.9013,98.4948,0.5164,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.3,2024-05-07 09:43:09,ASAP.py,99.0549,97.9691,98.5569,0.4980,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.4,2024-05-07 09:43:09,ASAP.py,98.0794,97.0131,97.5875,0.4919,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.5,2024-05-07 09:43:09,ASAP.py,97.6820,96.6071,97.1831,0.4989,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.6,2024-05-07 09:43:09,ASAP.py,97.9492,96.8801,97.4568,0.4924,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.7,2024-05-07 09:43:09,ASAP.py,98.0797,97.0098,97.5893,0.4904,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.8,2024-05-07 09:43:09,ASAP.py,99.1654,98.0733,98.6633,0.5022,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,0.9,2024-05-07 09:43:09,ASAP.py,97.9022,96.8341,97.4133,0.4889,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,1,1.0,2024-05-07 09:43:09,ASAP.py,98.2725,97.2389,97.7821,0.4903,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,1836596,2955129,1836596,2955129
1,2,0.0,2024-05-07 09:43:09,ASAP.py,102.2280,101.1272,101.6531,0.5749,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.8712,770716,2955129,770716,2955129
1,2,0.1,2024-05-07 09:43:09,ASAP.py,102.2149,101.1143,101.6521,0.5628,0.0006,26,6.9615,20.5000,36.3077,0.0000,0,0,0,0,0.0001,26,4,22,0,0.9072,770716,2955129,770712,2837800
1,2,0.2,2024-05-07 09:43:09,ASAP.py,102.1426,101.0085,101.5417,0.6009,0.0196,758,10.2282,26.7810,51.7203,0.0000,0,0,0,0,0.0014,759,133,625,1,0.9081,770716,2955129,770583,2834181
1,2,0.3,2024-05-07 09:43:09,ASAP.py,103.1506,101.5928,102.1635,0.9871,0.2604,6981,12.5683,31.9269,64.7283,0.0000,0,0,0,0,0.0137,7009,1212,5769,28,0.9133,770716,2955129,769504,2812097
1,2,0.4,2024-05-07 09:43:09,ASAP.py,104.1260,101.9285,102.4987,1.6273,0.6776,20009,12.2191,30.0006,63.8005,0.0000,0,0,0,0,0.0354,20157,3611,16398,148,0.9238,770716,2955129,767105,2760993
1,2,0.5,2024-05-07 09:43:09,ASAP.py,103.9073,100.8052,101.3247,2.5826,1.5063,48118,11.5557,27.3138,60.5032,0.0000,0,0,0,0,0.0744,48813,8806,39312,695,0.9261,770716,2955129,761910,2745664
1,2,0.6,2024-05-07 09:43:09,ASAP.py,108.1850,101.9006,102.4702,5.7148,3.7139,132029,10.1729,23.0417,53.4024,0.0000,0,0,0,0,0.2096,137167,25304,106725,5138,0.9605,770716,2955129,745412,2529823
1,2,0.7,2024-05-07 09:43:09,ASAP.py,110.8592,100.0604,100.5836,10.2755,6.8567,328819,7.9053,17.4945,41.2452,0.0000,0,0,0,0,0.5049,361985,73412,255407,33166,0.9833,770716,2955129,697304,2314364
1,2,0.8,2024-05-07 09:43:09,ASAP.py,112.1763,99.6183,100.1072,12.0692,7.6424,436893,6.8033,15.0825,35.1223,0.0000,0,0,0,0,0.6896,506291,114017,322876,69398,0.9936,770716,2955129,656699,2183910
1,2,0.9,2024-05-07 09:43:09,ASAP.py,114.3671,100.2758,100.8024,13.5646,8.0358,538689,5.7736,12.7774,29.4101,0.0000,0,0,0,0,0.9283,659663,165663,373026,120974,0.9999,770716,2955129,605053,2063644
1,2,1.0,2024-05-07 09:43:09,ASAP.py,115.6761,101.1974,101.7341,13.9420,8.1659,546864,5.5610,12.2280,28.3690,0.0000,0,0,0,0,0.9731,672014,171526,375338,125150,1.0000,770716,2955129,599190,2056937
1,3,0.0,2024-05-07 09:43:09,ASAP.py,103.7779,102.8013,103.2636,0.5143,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.7835,470669,2955129,470669,2955129
1,3,0.1,2024-05-07 09:43:09,ASAP.py,105.4778,104.1065,104.6557,0.8221,0.0079,121,8.5785,41.0826,83.5950,0.0000,0,0,0,0,0.0004,121,22,99,0,0.8491,470669,2955129,470647,2726932
1,3,0.2,2024-05-07 09:43:09,ASAP.py,104.7773,103.5509,104.0369,0.7403,0.0566,1464,7.4836,33.4180,72.1400,0.0000,0,0,0,0,0.0174,1472,217,1247,8,0.8510,470669,2955129,470452,2719156
1,3,0.3,2024-05-07 09:45:43,ASAP.py,102.4792,100.7615,101.2102,1.2689,0.4925,12203,8.2769,33.8087,77.5962,0.0000,0,0,0,0,0.0202,12309,1823,10380,106,0.8607,470669,2955129,468846,2675280
1,3,0.4,2024-05-07 09:45:43,ASAP.py,105.1349,102.4827,102.8912,2.2437,1.1946,32075,7.9176,30.5431,73.4140,0.0000,0,0,0,0,0.0500,32839,4944,27131,764,0.8791,470669,2955129,465725,2581722
1,3,0.5,2024-05-07 09:45:43,ASAP.py,106.6384,102.4812,102.8865,3.7519,2.4300,70309,7.3414,26.9352,67.3970,0.0000,0,0,0,0,0.1086,73300,11219,59090,2991,0.8832,470669,2955129,459450,2552414
1,3,0.6,2024-05-07 09:45:43,ASAP.py,110.4892,103.0604,103.4699,7.0193,4.6709,162483,6.2995,22.0959,57.2440,0.0000,0,0,0,0,0.2524,177321,29378,133105,14838,0.9377,470669,2955129,441291,2210524
1,3,0.7,2024-05-07 09:45:43,ASAP.py,112.8128,101.3657,101.7845,11.0283,6.9354,320086,4.7760,16.7280,42.9770,0.0000,0,0,0,0,0.5393,382380,78158,241928,62294,0.9743,470669,2955129,392511,1876745
1,3,0.8,2024-05-07 09:45:43,ASAP.py,116.0391,103.3347,103.7354,12.3037,7.0819,391728,4.0872,14.5287,36.6354,0.0000,0,0,0,0,0.6886,493697,116438,275290,101969,0.9908,470669,2955129,354231,1683817
1,3,0.9,2024-05-07 09:45:43,ASAP.py,115.9065,102.1615,102.5542,13.3523,7.1086,445282,3.4598,12.2918,30.6964,0.0000,0,0,0,0,0.8093,580605,156252,289030,135323,0.9999,470669,2955129,314417,1526709
1,3,1.0,2024-05-07 09:45:43,ASAP.py,116.5457,102.9985,103.3986,13.1471,6.9162,446673,3.3634,11.7792,29.6999,0.0000,0,0,0,0,0.7901,581553,158545,288128,134880,1.0000,470669,2955129,312124,1520989
1,4,0.0,2024-05-07 09:45:43,ASAP.py,104.8916,104.0244,104.4186,0.4730,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.7157,332944,2955129,332944,2955129
1,4,0.1,2024-05-07 09:45:43,ASAP.py,104.6506,103.6381,104.0446,0.6060,0.0112,168,8.3512,58.0595,124.3512,0.0000,0,0,0,0,0.0003,168,20,148,0,0.8064,332944,2955129,332924,2622610
1,4,0.2,2024-05-07 09:45:43,ASAP.py,104.8013,103.6552,104.0671,0.7342,0.0988,2134,6.3196,37.8880,88.6673,0.0000,0,0,0,0,0.0039,2141,263,1871,7,0.8092,332944,2955129,332681,2611243
1,4,0.3,2024-05-07 09:45:43,ASAP.py,106.9446,104.9004,105.3260,1.6186,0.7374,15830,6.4860,34.8488,87.4205,0.0000,0,0,0,0,0.0270,16134,1997,13833,304,0.8226,332944,2955129,330947,2548788
1,4,0.4,2024-05-07 09:45:43,ASAP.py,108.1760,104.9119,105.3206,2.8555,1.6165,37913,6.1204,30.7974,81.0482,0.0000,0,0,0,0,0.0618,39325,5122,32791,1412,0.8472,332944,2955129,327822,2421213
1,4,0.5,2024-05-07 09:45:43,ASAP.py,107.9580,103.0116,103.3830,4.5750,3.0240,77526,5.6241,26.9444,73.4579,0.0000,0,0,0,0,0.1278,82682,11246,66280,5156,0.8526,332944,2955129,321698,2379937
1,4,0.6,2024-05-07 09:45:43,ASAP.py,112.3335,104.2012,104.5857,7.7478,5.0254,160925,4.7061,21.7726,60.9058,0.0000,0,0,0,0,0.2678,182887,28803,132122,21962,0.9211,332944,2955129,304141,1955064
1,4,0.7,2024-05-07 09:45:43,ASAP.py,113.8169,102.4284,102.8129,11.0040,6.4495,279566,3.5408,16.7142,45.7093,0.0000,0,0,0,0,0.5232,354655,73967,205599,75089,0.9678,332944,2955129,258977,1547456
1,4,0.8,2024-05-07 09:45:43,ASAP.py,117.3552,104.4690,104.8595,12.4956,6.6434,329261,3.0333,14.6018,39.1038,0.0000,0,0,0,0,0.6356,437362,108186,221075,108101,0.9889,332944,2955129,224758,1319085
1,4,0.9,2024-05-07 09:45:43,ASAP.py,117.0059,103.3488,103.7285,13.2774,6.4511,361896,2.5728,12.2990,32.7877,0.0000,0,0,0,0,0.7054,484045,140133,221763,122149,0.9999,332944,2955129,192811,1149159
1,4,1.0,2024-05-07 09:45:43,ASAP.py,118.2601,104.6732,105.0777,13.1824,6.3329,361966,2.5193,11.8864,31.9420,0.0000,0,0,0,0,0.7015,483024,141337,220629,121058,1.0000,332944,2955129,191607,1144739
1,5,0.0,2024-05-07 09:45:43,ASAP.py,106.2955,105.4277,105.8105,0.4849,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.6580,251969,2955129,251969,2955129
1,5,0.1,2024-05-07 09:45:43,ASAP.py,106.0478,105.0179,105.4085,0.6393,0.0150,207,5.9227,56.1256,124.1836,0.0000,0,0,0,0,0.0004,208,11,196,1,0.7708,251969,2955129,251958,2522383
1,5,0.2,2024-05-07 09:45:43,ASAP.py,105.3578,104.1610,104.5390,0.8188,0.1354,2517,5.3000,39.7751,98.8582,0.0000,0,0,0,0,0.0047,2548,278,2239,31,0.7744,251969,2955129,251691,2507650
1,5,0.3,2024-05-07 09:45:43,ASAP.py,106.3326,104.0685,104.4519,1.8807,0.9281,17335,5.4735,35.6834,96.4014,0.0000,0,0,0,0,0.0295,17749,1872,15463,414,0.7909,251969,2955129,250097,2428709
1,5,0.4,2024-05-07 09:45:43,ASAP.py,108.1036,104.4953,104.8731,3.2305,1.8594,40222,5.0298,30.7689,86.7348,0.0000,0,0,0,0,0.0638,42326,5006,35216,2104,0.8207,251969,2955129,246963,2272020
1,5,0.5,2024-05-07 09:45:43,ASAP.py,109.2962,103.8167,104.2015,5.0948,3.3780,78827,4.5873,26.6867,77.9593,0.0000,0,0,0,0,0.1440,85701,10919,67908,6874,0.8272,251969,2955129,241050,2220597
1,5,0.6,2024-05-07 09:48:18,ASAP.py,113.4927,105.1655,105.5515,7.9411,4.9361,150714,3.7800,21.4565,63.8023,0.0000,0,0,0,0,0.2533,177691,27841,122873,26977,0.9068,251969,2955129,224128,1735659
1,5,0.7,2024-05-07 09:48:18,ASAP.py,115.7959,104.6182,105.0184,10.7774,5.8798,242352,2.8283,16.7620,48.2079,0.0000,0,0,0,0,0.4656,321948,71120,171232,79596,0.9623,251969,2955129,180849,1270785
1,5,0.8,2024-05-07 09:48:18,ASAP.py,117.2794,104.7788,105.1623,12.1171,5.9967,279243,2.4191,14.6972,41.4137,0.0000,0,0,0,0,0.5367,380687,101751,177492,101444,0.9876,251969,2955129,150218,1024749
