k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 18:27:55,ASAP.py,1.1678,1.1576,1.1651,0.0027,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.1,2024-05-06 18:27:55,ASAP.py,1.1603,1.1508,1.1578,0.0025,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.2,2024-05-06 18:27:55,ASAP.py,1.1591,1.1494,1.1566,0.0025,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.3,2024-05-06 18:27:55,ASAP.py,1.1578,1.1480,1.1552,0.0026,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.4,2024-05-06 18:27:55,ASAP.py,1.1582,1.1485,1.1557,0.0026,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.5,2024-05-06 18:27:55,ASAP.py,1.1594,1.1498,1.1569,0.0025,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.6,2024-05-06 18:27:55,ASAP.py,1.1524,1.1434,1.1500,0.0024,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.7,2024-05-06 18:27:55,ASAP.py,1.1553,1.1460,1.1529,0.0024,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.8,2024-05-06 18:27:55,ASAP.py,1.1591,1.1492,1.1565,0.0026,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
1,1,0.9,2024-05-06 18:27:55,ASAP.py,1.1617,1.1518,1.1591,0.0026,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,24115,11027,24115,11027
