k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 18:33:59,ASAP.py,7.8132,7.7271,7.7757,0.0375,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.1,2024-05-06 18:33:59,ASAP.py,7.7429,7.6520,7.7040,0.0389,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.2,2024-05-06 18:33:59,ASAP.py,7.7566,7.6696,7.7185,0.0381,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.3,2024-05-06 18:33:59,ASAP.py,7.7283,7.6369,7.6898,0.0385,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.4,2024-05-06 18:33:59,ASAP.py,7.8856,7.7808,7.8405,0.0451,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.5,2024-05-06 19:08:49,ASAP.py,6.9412,6.8604,6.9049,0.0363,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.6,2024-05-06 19:08:49,ASAP.py,6.9437,6.8641,6.9080,0.0357,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.7,2024-05-06 18:33:59,ASAP.py,7.8121,7.6252,7.7291,0.0830,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.8,2024-05-06 18:33:59,ASAP.py,7.6558,7.5686,7.6172,0.0387,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,0.9,2024-05-06 18:33:59,ASAP.py,7.6787,7.5913,7.6392,0.0395,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,1,1.0,2024-05-06 18:33:59,ASAP.py,7.7290,7.6363,7.6898,0.0392,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,172738,233202,172738,233202
1,2,0.0,2024-05-06 18:33:59,ASAP.py,8.1495,8.0751,8.1102,0.0393,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.7195,54864,233202,54864,233202
1,2,0.1,2024-05-06 18:33:59,ASAP.py,8.3104,8.2273,8.2614,0.0490,0.0000,8,0.3750,3.5000,3.8750,0.0000,0,0,0,0,0.0000,8,6,2,0,0.8188,54864,233202,54858,204914
1,2,0.2,2024-05-06 18:33:59,ASAP.py,8.3320,8.2428,8.2782,0.0538,0.0017,224,1.7946,8.9152,11.4821,0.0000,0,0,0,0,0.0004,224,117,107,0,0.8208,54864,233202,54747,204205
1,2,0.3,2024-05-06 18:33:59,ASAP.py,8.2850,8.1734,8.2037,0.0812,0.0151,1549,2.8334,12.1369,16.8851,0.0000,0,0,0,0,0.0026,1556,617,932,7,0.8300,54864,233202,54247,200616
1,2,0.4,2024-05-06 18:33:59,ASAP.py,8.4318,8.2601,8.2960,0.1358,0.0399,3967,3.0676,13.4237,18.3365,0.0000,0,0,0,0,0.0065,3988,1442,2525,21,0.8498,54864,233202,53422,192169
1,2,0.5,2024-05-06 18:33:59,ASAP.py,8.5259,8.2547,8.2909,0.2349,0.1015,8890,3.5330,14.8375,20.9256,0.0000,0,0,0,0,0.0151,9001,3150,5740,111,0.8534,54864,233202,51714,188786
1,2,0.6,2024-05-06 18:33:59,ASAP.py,8.7451,8.1953,8.2256,0.5195,0.2624,21827,3.9014,16.3529,23.1802,0.0000,0,0,0,0,0.0375,22668,7317,14510,841,0.9415,54864,233202,47547,146676
1,2,0.7,2024-05-06 18:33:59,ASAP.py,9.2734,8.2440,8.2803,0.9931,0.5368,46599,3.8326,16.4833,23.1420,0.0000,0,0,0,0,0.0869,51844,16158,30441,5245,0.9764,54864,233202,38706,119732
1,2,0.8,2024-05-06 18:33:59,ASAP.py,9.5667,8.2949,8.3283,1.2384,0.6563,60407,3.4420,15.4962,21.3519,0.0000,0,0,0,0,0.1166,70034,23200,37207,9627,0.9903,54864,233202,31664,101882
1,2,0.9,2024-05-06 18:33:59,ASAP.py,10.5099,8.9539,9.0111,1.4988,0.6772,71488,2.8675,13.2031,17.9913,0.0000,0,0,0,0,0.1311,83739,30769,40719,12251,0.9995,54864,233202,24095,81072
1,2,1.0,2024-05-06 18:33:59,ASAP.py,9.7264,8.2681,8.3021,1.4243,0.6760,72772,2.4937,11.3057,15.5067,0.0000,0,0,0,0,0.1376,84256,32355,40417,11484,1.0000,54864,233202,22509,75986
1,3,0.0,2024-05-06 18:33:59,ASAP.py,8.5032,8.4298,8.4576,0.0455,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.5105,23089,233202,23089,233202
1,3,0.1,2024-05-06 18:33:59,ASAP.py,8.5824,8.4843,8.5145,0.0679,0.0007,45,1.6222,10.8667,17.2667,0.0000,0,0,0,0,0.0001,45,17,28,0,0.7181,23089,233202,23072,165722
1,3,0.2,2024-05-06 18:33:59,ASAP.py,8.5896,8.4703,8.5004,0.0892,0.0113,680,2.2191,14.5706,24.3559,0.0000,0,0,0,0,0.0012,682,237,443,2,0.7244,23089,233202,22852,163431
1,3,0.3,2024-05-06 18:34:12,ASAP.py,9.3114,9.0712,9.1028,0.2086,0.0836,3473,2.9358,19.2298,32.2931,0.0000,0,0,0,0,0.0068,3511,999,2474,38,0.7447,23089,233202,22090,154815
1,3,0.4,2024-05-06 18:34:12,ASAP.py,8.7678,8.4655,8.4871,0.2807,0.1351,7366,3.0004,19.7419,33.0379,0.0000,0,0,0,0,0.0122,7688,2025,5341,322,0.7782,23089,233202,21064,140156
1,3,0.5,2024-05-06 18:34:12,ASAP.py,8.8304,8.4026,8.4260,0.4044,0.2195,12871,2.9238,20.0259,32.9105,0.0000,0,0,0,0,0.0209,13926,3730,9141,1055,0.7842,23089,233202,19359,132201
1,3,0.6,2024-05-06 18:34:12,ASAP.py,9.0783,8.4059,8.4275,0.6508,0.3313,22323,2.6834,19.1332,31.1339,0.0000,0,0,0,0,0.0385,25757,7313,15010,3434,0.9153,23089,233202,15776,80828
1,3,0.7,2024-05-06 18:34:12,ASAP.py,9.4257,8.4738,8.4975,0.9282,0.4411,32462,2.1988,16.9434,26.9059,0.0000,0,0,0,0,0.0629,39183,13526,18936,6721,0.9711,23089,233202,9563,48726
1,3,0.8,2024-05-06 18:34:12,ASAP.py,9.4613,8.4460,8.4672,0.9942,0.4442,34839,1.8921,14.5917,23.2129,0.0000,0,0,0,0,0.0672,41537,16653,18186,6698,0.9910,23089,233202,6436,33086
1,3,0.9,2024-05-06 18:34:12,ASAP.py,9.3919,8.4784,8.5018,0.8902,0.3312,32132,1.3581,9.9910,16.1895,0.0000,0,0,0,0,0.0560,36433,18255,13877,4301,0.9999,23089,233202,4834,24460
1,3,1.0,2024-05-06 18:34:12,ASAP.py,9.3774,8.4880,8.5095,0.8680,0.3141,31371,1.2327,8.8071,14.4269,0.0000,0,0,0,0,0.0547,35226,18329,13042,3855,1.0000,23089,233202,4760,24045
1,4,0.0,2024-05-06 18:34:12,ASAP.py,9.0859,9.0004,9.0345,0.0515,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.3717,11841,233202,11841,233202
1,4,0.1,2024-05-06 18:34:12,ASAP.py,9.3853,9.2688,9.3010,0.0843,0.0014,49,1.8776,15.8980,28.7143,0.0000,0,0,0,0,0.0001,49,11,38,0,0.6517,11841,233202,11830,132905
1,4,0.2,2024-05-06 18:34:12,ASAP.py,8.6805,8.5555,8.5747,0.1058,0.0220,940,2.4819,19.0596,37.8447,0.0000,0,0,0,0,0.0015,949,197,743,9,0.6623,11841,233202,11644,129193
1,4,0.3,2024-05-06 18:34:12,ASAP.py,8.8385,8.5958,8.6148,0.2237,0.1015,4064,2.5674,19.8305,39.1344,0.0000,0,0,0,0,0.0068,4247,1010,3054,183,0.6911,11841,233202,10831,116806
1,4,0.4,2024-05-06 18:34:12,ASAP.py,9.0470,8.6752,8.6973,0.3497,0.1705,7122,2.5204,20.5288,39.7567,0.0000,0,0,0,0,0.0131,7859,1877,5245,737,0.7337,11841,233202,9964,99454
1,4,0.5,2024-05-06 18:34:12,ASAP.py,9.0100,8.5478,8.5715,0.4385,0.2269,10733,2.3041,19.6658,37.6713,0.0000,0,0,0,0,0.0190,12451,3260,7473,1718,0.7415,11841,233202,8581,88845
