data,algorithm,run_time,kg_time,main_time,ng_time
AMiner,NPA,1048.2652,1033.2635,14.235,2.5168
AMiner,ASAP,1052.713,1037.0652,13.9267,1.4278
Amazon,NPA,3995.296,2205.172,1789.8767,1742.2164
Amazon,ASAP,3040.5577,2201.9974,837.9798,759.2835
Gowalla,NPA,101.9936,52.535,49.3828,46.8049
Gowalla,ASAP,82.9366,53.6501,29.1456,25.3285
House Bills,NPA,24.0356,14.6953,9.3372,9.3073
House Bills,ASAP,18.5939,14.6773,3.9101,3.837
Instacart,NPA,815.8703,264.6847,550.986,543.4163
Instacart,ASAP,432.3673,258.2859,173.7084,164.4242
Kosarak,NPA,564.1217,122.7565,441.3309,440.0225
Kosarak,ASAP,222.3141,122.9322,99.3032,97.3019
