data,variable,num_of_nodes,num_of_edges
Contact,0.0,204,12704
Contact,0.2,204,12539
Contact,0.4,204,12478
Contact,0.6,204,11288
Contact,0.8,191,9996
Contact,1.0,191,9996
Congress,0.0,1684,83105
Congress,0.2,1684,83105
Congress,0.4,1684,83105
Congress,0.6,1684,83085
Congress,0.8,1684,83040
Congress,1.0,1681,82589
Meetup,0.0,1737,11027
Meetup,0.2,1660,5868
Meetup,0.4,895,2436
Meetup,0.6,429,1005
Meetup,0.8,103,154
Meetup,1.0,0,0
Enron,0.0,506,5734
Enron,0.2,505,5058
Enron,0.4,489,4523
Enron,0.6,432,2558
Enron,0.8,265,1253
Enron,1.0,22,156
Trivago,0.0,412,233202
Trivago,0.2,358,14044
Trivago,0.4,242,7735
Trivago,0.6,129,3377
Trivago,0.8,64,1903
Trivago,1.0,42,1244
History,0.0,248,895439
History,0.2,247,1626
History,0.4,223,834
History,0.6,126,209
History,0.8,64,92
History,1.0,9,23
DBLP,0.0,6243,2170260
DBLP,0.2,6139,258296
DBLP,0.4,5014,86928
DBLP,0.6,2538,11147
DBLP,0.8,475,1137
DBLP,1.0,11,49
