k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,1,0.0,2024-05-06 19:58:32,naive.py,0.1119,0.1105,0.1107,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.1,2024-05-06 19:58:32,naive.py,0.1332,0.1314,0.1318,0.0015,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.2,2024-05-06 19:58:32,naive.py,0.1125,0.1110,0.1113,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.3,2024-05-06 19:58:32,naive.py,0.1124,0.1109,0.1112,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.4,2024-05-06 19:58:32,naive.py,0.1127,0.1112,0.1115,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.5,2024-05-06 19:58:33,naive.py,0.1338,0.1321,0.1324,0.0014,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.6,2024-05-06 19:58:33,naive.py,0.1117,0.1100,0.1103,0.0014,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.7,2024-05-06 19:58:33,naive.py,0.1127,0.1111,0.1114,0.0013,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.8,2024-05-06 19:58:33,naive.py,0.1115,0.1100,0.1103,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,0.9,2024-05-06 19:58:33,naive.py,0.1329,0.1311,0.1314,0.0015,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,1,1.0,2024-05-06 19:58:33,naive.py,0.1342,0.1325,0.1328,0.0014,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,169,9835,169,9835
1,2,0.0,2024-05-06 19:58:33,naive.py,0.1120,0.1105,0.1108,0.0012,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9998,166,9835,166,9835
1,2,0.1,2024-05-06 19:58:33,naive.py,0.1134,0.1118,0.1121,0.0013,0.0000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,166,9835,166,9833
