dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Amazon,naive,3,3,0.8,5666.3266,1963.7442,3702.3163,3642.051,2778539.0,712775.0,4285363.0,202460.0,762907.0
Amazon,naive,5,5,0.8,3995.296,2205.172,1789.8767,1742.2164,1144779.0,278466.0,4285363.0,20269.0,114182.0
Amazon,naive,10,10,0.8,2557.5184,2397.5422,159.7221,132.8623,183291.0,78066.0,4285363.0,473.0,27372.0
Amazon,naive,20,20,0.8,2553.6345,2525.9261,27.4686,13.8337,37640.0,18453.0,4285363.0,165.0,9621.0
Amazon,naive,30,30,0.8,2596.2126,2584.307,11.7238,2.9655,12277.0,6141.0,4285363.0,72.0,2562.0
Amazon,naive,40,40,0.8,2601.2622,2592.8662,8.217,1.7127,4924.0,2471.0,4285363.0,65.0,2360.0
Amazon,naive,50,50,0.8,2606.877,2600.4302,6.2696,1.2517,2156.0,1078.0,4285363.0,57.0,2221.0
Amazon,naive,60,60,0.8,2655.6922,2651.9145,3.5853,0.0105,292.0,146.0,4285363.0,0.0,0.0
Amazon,naive,70,70,0.8,2649.2623,2645.7776,3.3084,0.0,0.0,0.0,4285363.0,0.0,0.0
Amazon,ASAP,3,3,0.8,3636.8925,1979.9931,1656.1308,1550.3986,1587544.0,712775.0,4285363.0,202460.0,762907.0
Amazon,ASAP,4,4,0.8,3231.5645,1977.3213,1253.6217,1164.389,1080943.0,418507.0,4285363.0,57769.0,290098.0
Amazon,ASAP,5,5,0.8,3040.5577,2201.9974,837.9798,759.2835,626435.0,278466.0,4285363.0,20269.0,114182.0
Amazon,ASAP,6,6,0.8,2685.2756,2139.1513,545.5866,486.7267,410175.0,199349.0,4285363.0,2091.0,45822.0
Amazon,ASAP,7,7,0.8,2629.5155,2261.9092,367.0554,317.2024,267440.0,150461.0,4285363.0,1183.0,40282.0
