data,algorithm,kg_time,main_time,ng_time
Contact,NPA,0.1113,0.0406,0.0353
Congress,NPA,3.4376,0.2167,0.1986
Meetup,NPA,1.3574,0.0792,0.0512
Enron,NPA,0.1956,0.073,0.064
Trivago,NPA,8.6771,0.1543,0.0254
History,NPA,32.5065,0.4545,0.0034
DBLP,NPA,95.1609,1.7794,0.216
Aminer,NPA,1109.0504,15.5151,2.5834
Contact,ASAP,0.1034,0.0228,0.0167
Congress,ASAP,3.0111,0.1693,0.1517
Meetup,ASAP,1.1788,0.058,0.0263
Enron,ASAP,0.1864,0.0417,0.0293
Trivago,ASAP,8.8486,0.1519,0.0154
History,ASAP,32.7511,0.4389,0.0019
DBLP,ASAP,90.516,1.7711,0.1279
