data,variable,num_of_nodes,num_of_edges
Contact,3,235,12410
Contact,4,215,11500
Contact,5,191,9996
Contact,6,76,2842
Contact,7,24,729
Congress,3,1706,83099
Congress,4,1700,83085
Congress,5,1684,83040
Congress,6,1673,83015
Congress,7,1648,82906
Meetup,3,512,739
Meetup,4,241,294
Meetup,5,103,154
Meetup,6,62,90
Meetup,7,56,81
Enron,3,661,2331
Enron,4,403,1692
Enron,5,265,1253
Enron,6,179,951
Enron,7,115,640
Trivago,3,197,3539
Trivago,4,89,2263
Trivago,5,64,1903
Trivago,6,46,1442
Trivago,7,0,0
History,3,268,315
History,4,111,162
History,5,64,92
History,6,33,62
History,7,33,62
DBLP,3,7844,15092
DBLP,4,1567,2857
DBLP,5,475,1137
DBLP,6,165,464
DBLP,7,82,269
